gene	n.umis	n.tot	efficiency	depth	loss	n.obs
FBtr0070065-M	8	8.45	0.63	5.54	0.0535	8
FBtr0070119	32	35	0.552	5.34	0.0846	32
FBtr0070158-M	4415	4733	0.709	5.19	0.0672	4415
FBtr0070234	33	34.2	0.753	5.68	0.034	33
FBtr0070269	18	22.1	0.435	4.77	0.186	18
FBtr0070345-M	34	36.7	0.55	5.58	0.0731	34
FBtr0070379-M	79	88.1	0.397	5.61	0.103	79
FBtr0070396	18	19.2	0.646	5.35	0.0606	18
FBtr0070418	69	74.2	0.651	5.24	0.0701	69
FBtr0070419-M	16	17.1	0.612	5.42	0.064	16
FBtr0070439-M	110	122	0.508	5.13	0.101	110
FBtr0070460	1	1.09	0.559	5.39	0.0804	1
FBtr0070477-M	1	1.09	0.559	5.39	0.0804	1
FBtr0070484	48	50.8	0.586	5.91	0.0554	48
FBtr0070485	3	3.32	0.579	5.22	0.0956	3
FBtr0070487	17	18.5	0.686	4.94	0.0825	17
FBtr0070495	4	4.28	0.588	5.5	0.0647	4
FBtr0070519-M	43	45.7	0.63	5.55	0.0589	43
FBtr0070638	32	35.8	0.498	5.22	0.105	32
FBtr0070804-M	38	39.6	0.691	5.78	0.041	38
FBtr0070914	25	26.1	0.644	5.96	0.042	25
FBtr0071147	1	1.09	0.559	5.39	0.0804	1
FBtr0071331-M	17	18.7	0.51	5.46	0.0908	17
FBtr0071511	12	14.4	0.47	4.9	0.169	12
FBtr0071548	16	17.3	0.643	5.11	0.077	16
FBtr0071569	78	86.7	0.374	5.83	0.0998	78
FBtr0071610	8	8.44	0.63	5.6	0.0523	8
FBtr0071687	11	13.7	0.442	4.86	0.195	11
FBtr0071764-M	3	3.21	0.588	5.46	0.0666	3
FBtr0071911-M	133	147	0.499	5.32	0.0937	133
FBtr0071982	265	293	0.488	5.3	0.0951	265
FBtr0072047-M	1	1.09	0.559	5.39	0.0804	1
FBtr0072143-M	96	105	0.485	5.57	0.0864	96
FBtr0072152	31	33.1	0.611	5.51	0.0627	31
FBtr0072156	52	56.7	0.571	5.27	0.0832	52
FBtr0072368-M	1	1.09	0.559	5.39	0.0804	1
FBtr0072405-M	5048	5595	0.553	4.97	0.0978	5048
FBtr0072565-M	164	181	0.512	5.31	0.0916	164
FBtr0072578	129	143	0.348	6.02	0.0955	129
FBtr0072856-M	9	9.65	0.574	5.53	0.0671	9
FBtr0072864-M	68	77.8	0.402	5.16	0.126	68
FBtr0072903	17	18.1	0.601	5.6	0.0591	17
FBtr0073454	32	34.9	0.662	4.95	0.0842	32
FBtr0073460	57	64.1	0.368	5.67	0.111	57
FBtr0073516-M	22	25	0.439	5.32	0.121	22
