gene	n.umis	n.tot	efficiency	depth	loss	n.obs
AAC73112	10	10.3	0.822	71.8	0.0261	10
AAC73113	34	34.9	0.822	71.5	0.0261	34
AAC73114	14	14.4	0.822	71.2	0.0261	14
AAC73115	18	18.5	0.822	70.8	0.0261	18
AAC73117	2	2.05	0.822	72.1	0.0261	2
AAC73119	154	158	0.822	73.9	0.0261	154
AAC73120	11	11.3	0.822	71.9	0.0261	11
AAC73121	2	2.05	0.822	72.1	0.0261	2
AAC73125	907	931	0.822	74.4	0.0261	907
AAC73126	123	126	0.822	69.6	0.0261	123
AAC73130	7	7.19	0.822	72.2	0.0261	7
AAC73134	61	62.6	0.822	76.6	0.0261	61
AAC73136	33	33.9	0.822	70.3	0.0261	33
AAC73137	185	190	0.822	69.3	0.0261	185
AAC73138	12	12.3	0.822	71.5	0.0261	12
AAC73139	32	32.9	0.822	67.7	0.0261	32
AAC73140	17	17.5	0.822	71.1	0.0261	17
AAC73141	10	10.3	0.822	72.1	0.0261	10
AAC73142	4	4.11	0.822	72.1	0.0261	4
AAC73143	59	60.6	0.822	70.6	0.0261	59
AAC73144	115	118	0.822	70.2	0.0261	115
AAC73150	2	2.05	0.822	72.1	0.0261	2
AAC73151	2	2.05	0.822	72.1	0.0261	2
AAC73157	2	2.05	0.822	72.1	0.0261	2
AAC73158	7	7.19	0.822	70.4	0.0261	7
AAC73159	4	4.11	0.822	72.1	0.0261	4
AAC73160	6	6.16	0.822	72.7	0.0261	6
AAC73161	4	4.11	0.822	72.1	0.0261	4
AAC73162	30	30.8	0.822	73.3	0.0261	30
AAC73163	30	30.8	0.822	71.8	0.0261	30
AAC73164	66	67.8	0.822	70.6	0.0261	66
AAC73165	61	62.6	0.822	76.1	0.0261	61
AAC73166	2	2.05	0.822	72.1	0.0261	2
AAC73169	1	1.03	0.822	72.1	0.0261	1
AAC73170	32	32.9	0.822	71.9	0.0261	32
AAC73171	6	6.16	0.822	73.2	0.0261	6
AAC73174	4	4.11	0.822	72.1	0.0261	4
AAC73175	4	4.11	0.822	72.1	0.0261	4
AAC73176	2	2.05	0.822	72.1	0.0261	2
AAC73178	5	5.13	0.822	71	0.0261	5
AAC73179	4	4.11	0.822	72.1	0.0261	4
AAC73180	7	7.19	0.822	70.4	0.0261	7
AAC73182	2	2.05	0.822	72.1	0.0261	2
AAC73183	15	15.4	0.822	72.2	0.0261	15
AAC73184	6	6.16	0.822	72.5	0.0261	6
AAC73185	4	4.11	0.822	72.1	0.0261	4
AAC73186	2	2.05	0.822	72.1	0.0261	2
AAC73189	4	4.11	0.822	72.1	0.0261	4
AAC73191	22	22.6	0.822	72.7	0.0261	22
AAC73192	17	17.5	0.822	71.1	0.0261	17
AAC73193	18	18.5	0.822	70.5	0.0261	18
AAC73194	6	6.16	0.822	71.7	0.0261	6
AAC73195	28	28.8	0.822	74.3	0.0261	28
AAC73196	28	28.8	0.822	73.4	0.0261	28
AAC73197	42	43.1	0.822	70.6	0.0261	42
AAC73198	15	15.4	0.822	72.4	0.0261	15
AAC73199	20	20.5	0.822	68.9	0.0261	20
AAC73200	5	5.13	0.822	70.3	0.0261	5
AAC73201	11	11.3	0.822	73.7	0.0261	11
AAC73202	19	19.5	0.822	70.5	0.0261	19
AAC73203	13	13.3	0.822	72.4	0.0261	13
AAC73204	23	23.6	0.822	72.1	0.0261	23
AAC73205	16	16.4	0.822	70.3	0.0261	16
AAC73206	27	27.7	0.822	69.9	0.0261	27
AAC73207	88	90.4	0.822	72.2	0.0261	88
AAC73208	24	24.6	0.822	68.1	0.0261	24
AAC73209	99	102	0.822	71.6	0.0261	99
AAC73210	2	2.05	0.822	72.1	0.0261	2
AAC73212	4	4.11	0.822	72.1	0.0261	4
AAC73213	6	6.16	0.822	72.9	0.0261	6
AAC73214	8	8.21	0.822	72.3	0.0261	8
ACO59989	23	23.6	0.822	74.5	0.0261	23
